sample_id,subject,source_split,selection_seed,heldout_pool_size
0000,BraTS-GLI-00085-000,test,2026,251
0001,BraTS-GLI-00756-000,test,2026,251
0002,BraTS-GLI-01215-000,validation,2026,251
0003,BraTS-GLI-01455-000,validation,2026,251
0004,BraTS-GLI-00414-000,validation,2026,251
0005,BraTS-GLI-00095-001,validation,2026,251
0006,BraTS-GLI-00346-000,validation,2026,251
0007,BraTS-GLI-00606-000,test,2026,251
0008,BraTS-GLI-00746-000,test,2026,251
0009,BraTS-GLI-00795-000,validation,2026,251
0010,BraTS-GLI-00500-000,validation,2026,251
0011,BraTS-GLI-00101-000,test,2026,251
0012,BraTS-GLI-00147-000,validation,2026,251
0013,BraTS-GLI-01042-000,validation,2026,251
0014,BraTS-GLI-00444-000,test,2026,251
0015,BraTS-GLI-01185-000,validation,2026,251
0016,BraTS-GLI-00376-000,test,2026,251
0017,BraTS-GLI-00542-000,validation,2026,251
0018,BraTS-GLI-01365-000,test,2026,251
0019,BraTS-GLI-00631-000,validation,2026,251
0020,BraTS-GLI-01484-000,test,2026,251
0021,BraTS-GLI-00120-000,validation,2026,251
0022,BraTS-GLI-00772-001,validation,2026,251
0023,BraTS-GLI-01422-000,validation,2026,251
0024,BraTS-GLI-00237-000,test,2026,251
0025,BraTS-GLI-01256-000,validation,2026,251
0026,BraTS-GLI-01086-000,test,2026,251
0027,BraTS-GLI-01269-000,test,2026,251
0028,BraTS-GLI-00537-000,test,2026,251
0029,BraTS-GLI-00468-000,test,2026,251
0030,BraTS-GLI-00736-000,test,2026,251
0031,BraTS-GLI-01066-000,validation,2026,251
0032,BraTS-GLI-00348-000,test,2026,251
0033,BraTS-GLI-01237-000,test,2026,251
0034,BraTS-GLI-00258-000,validation,2026,251
0035,BraTS-GLI-01217-000,validation,2026,251
0036,BraTS-GLI-01657-000,validation,2026,251
0037,BraTS-GLI-00046-000,validation,2026,251
0038,BraTS-GLI-01496-000,test,2026,251
0039,BraTS-GLI-00028-000,test,2026,251
0040,BraTS-GLI-01453-000,validation,2026,251
0041,BraTS-GLI-01459-000,test,2026,251
0042,BraTS-GLI-00253-000,validation,2026,251
0043,BraTS-GLI-00388-000,validation,2026,251
0044,BraTS-GLI-01205-000,validation,2026,251
0045,BraTS-GLI-00195-000,test,2026,251
0046,BraTS-GLI-00479-000,test,2026,251
0047,BraTS-GLI-00667-000,validation,2026,251
0048,BraTS-GLI-00219-000,validation,2026,251
0049,BraTS-GLI-01010-000,validation,2026,251
0050,BraTS-GLI-01101-000,validation,2026,251
0051,BraTS-GLI-01458-000,validation,2026,251
0052,BraTS-GLI-00608-000,validation,2026,251
0053,BraTS-GLI-00550-000,validation,2026,251
0054,BraTS-GLI-00507-000,test,2026,251
0055,BraTS-GLI-01395-000,test,2026,251
0056,BraTS-GLI-00430-000,validation,2026,251
0057,BraTS-GLI-01518-000,validation,2026,251
0058,BraTS-GLI-01077-000,validation,2026,251
0059,BraTS-GLI-00571-000,validation,2026,251
0060,BraTS-GLI-00742-000,test,2026,251
0061,BraTS-GLI-01167-000,validation,2026,251
0062,BraTS-GLI-00115-000,validation,2026,251
0063,BraTS-GLI-01282-000,test,2026,251
0064,BraTS-GLI-00059-000,test,2026,251
0065,BraTS-GLI-01418-000,validation,2026,251
0066,BraTS-GLI-00364-000,test,2026,251
0067,BraTS-GLI-01659-000,validation,2026,251
0068,BraTS-GLI-00753-000,test,2026,251
0069,BraTS-GLI-00022-000,validation,2026,251
0070,BraTS-GLI-01515-000,test,2026,251
0071,BraTS-GLI-00739-000,test,2026,251
0072,BraTS-GLI-00656-000,test,2026,251
0073,BraTS-GLI-01135-000,test,2026,251
0074,BraTS-GLI-00053-000,test,2026,251
0075,BraTS-GLI-00805-000,validation,2026,251
0076,BraTS-GLI-00518-001,validation,2026,251
0077,BraTS-GLI-00590-000,test,2026,251
0078,BraTS-GLI-00254-000,validation,2026,251
0079,BraTS-GLI-01188-000,validation,2026,251
0080,BraTS-GLI-01420-000,test,2026,251
0081,BraTS-GLI-00306-000,test,2026,251
0082,BraTS-GLI-01287-000,test,2026,251
0083,BraTS-GLI-00048-000,test,2026,251
0084,BraTS-GLI-01493-000,validation,2026,251
0085,BraTS-GLI-01000-000,validation,2026,251
0086,BraTS-GLI-00706-000,validation,2026,251
0087,BraTS-GLI-00446-000,test,2026,251
0088,BraTS-GLI-01457-000,test,2026,251
0089,BraTS-GLI-00369-000,test,2026,251
0090,BraTS-GLI-00674-001,test,2026,251
0091,BraTS-GLI-01355-000,test,2026,251
0092,BraTS-GLI-01351-000,test,2026,251
0093,BraTS-GLI-01233-000,validation,2026,251
0094,BraTS-GLI-01521-000,test,2026,251
0095,BraTS-GLI-01058-000,test,2026,251
